province,constituency_code,n_pdfs,n_pdfs_before_june_25,n_compressed_files,n_compressed_files_before_june_25,n_other_files,n_other_files_before_june_25,folder_name
Balochistan,PB-25,35,0,0,0,0,0,PB-25
Balochistan,PB-12,36,0,0,0,0,0,PB-12
Balochistan,NA-261,18,18,0,0,0,0,NA-261
Balochistan,PB-16,12,12,0,0,0,0,PB-16
Balochistan,PB-02,37,37,0,0,0,0,PB-02
Balochistan,PB-49,26,26,0,0,0,0,PB-49
Balochistan,NA-265,35,35,0,0,0,0,NA-265
Balochistan,NA-269,28,28,0,0,0,0,NA-269
Balochistan,NA-270,1,0,0,0,0,0,NA-270 Form 45
Balochistan,PB-03,24,24,0,0,0,0,PB-03
Balochistan,PB-42,30,0,0,0,0,0,PB-42
Balochistan,PB-37,30,30,0,0,0,0,PB-37
Balochistan,NA-267,31,0,0,0,0,0,NA-267
Balochistan,NA-263,28,28,0,0,0,0,NA-263
Balochistan,NA-260,0,0,0,0,0,0,NA-260
Balochistan,PB-11,48,0,0,0,0,0,PB-11
Balochistan,PB-30,22,22,0,0,0,0,PB-30
Balochistan,PB-40,16,16,0,0,0,0,PB-40
Balochistan,PB-10,25,0,0,0,0,0,PB-10
Balochistan,PB-26,29,29,0,0,0,0,PB-26
Balochistan,PB-21,16,0,0,0,0,0,PB-21
Balochistan,NA-258,22,22,0,0,0,0,NA-258
Balochistan,PB-48,13,13,0,0,0,0,PB-48
Balochistan,PB-32,24,0,0,0,0,0,PB-32
Balochistan,PB-51,22,22,0,0,0,0,PB-51
Balochistan,PB-13,31,31,0,0,0,0,PB-13
Balochistan,PB-45,24,24,0,0,0,0,PB-45
Balochistan,PB-09,24,24,0,0,0,0,PB-09
Balochistan,NA-272,24,0,0,0,0,0,NA-272
Balochistan,NA-268,30,0,0,0,0,0,NA-268
Balochistan,PB-15,22,22,0,0,0,0,PB-15
Balochistan,PB-06,28,27,0,0,0,0,PB-06
Balochistan,PB-19,27,0,0,0,0,0,PB-19
Balochistan,PB-39,27,27,0,0,0,0,PB-39
Balochistan,NA-259,34,34,0,0,0,0,NA-259
Balochistan,NA-271,21,0,0,0,0,0,NA-271
Balochistan,PB-41,50,50,0,0,0,0,PB-41
Balochistan,PB-14,20,20,0,0,0,0,PB-14
Balochistan,PB-44,16,0,0,0,0,0,PB-44
Balochistan,PB-28,53,0,0,0,0,0,PB-28
Balochistan,PB-07,37,0,0,0,0,0,PB-07
Balochistan,PB-31,30,0,0,0,0,0,PB-31
Balochistan,PB-36,17,17,0,0,0,0,PB-36
Balochistan,NA-266,23,23,0,0,0,0,NA-266 Quetta-III
Balochistan,NA-259,1,0,0,0,0,0,NA-259 Form 45
Balochistan,PB-35,36,0,0,0,1,0,PB-35
Balochistan,PB-22,15,0,0,0,0,0,PB-22
Balochistan,PB-38,7,7,0,0,0,0,PB-38
Balochistan,PB-05,27,27,0,0,0,0,PB-05
Balochistan,PB-34,22,0,0,0,0,0,PB-34
Balochistan,NA-262,13,0,0,0,0,0,NA-262
Balochistan,NA-257,19,19,0,0,0,0,NA-257
Balochistan,NA-264,25,25,0,0,0,0,NA-264 Quetta-I
Balochistan,PB-23,19,19,0,0,0,0,PB-23
Balochistan,NA-270,31,31,0,0,0,0,NA-270
Balochistan,PB-01,33,33,0,0,0,0, PB-01 
Balochistan,PB-27,51,51,0,0,0,0,PB-27
Balochistan,PB-33,32,0,0,0,0,0,PB-33
Balochistan,PB-29,35,0,0,0,0,0,PB-29
Balochistan,PB-43,27,0,0,0,0,0,PB-43
Balochistan,PB-23,9,9,0,0,0,0,PB-23
Balochistan,PB-40,1,0,0,0,0,0,Khuzdar PB-40
Balochistan,PB-18,14,0,0,0,0,0,PB-18
Balochistan,PB-20,13,0,0,0,0,0,PB-20
Balochistan,PB-04,29,29,0,0,0,0,PB-04
Balochistan,PB-17,29,0,0,0,0,0,PB-17
Balochistan,PB-08,19,19,0,0,0,0,PB-08
Balochistan,PB-24,11,11,0,0,0,0,PB-24
Balochistan,PB-50,17,0,0,0,0,0,PB-50
Balochistan,NA-269,0,0,0,0,0,0,NA-269
Balochistan,PB-35,1,0,0,0,0,0,Mastung PB-35
Balochistan,PB-47,19,19,0,0,0,0,PB-47 
Balochistan,PB-46,16,16,0,0,0,0,PB-46
Punjab,PP-131,21,21,0,0,0,0,PP-131
Punjab,PP-111,0,0,0,0,0,0,PP-111
Punjab,PP-206,20,20,0,0,0,0,PP-206
Punjab,PP-4,19,19,0,0,0,0,PP-4
