district,new_district
Gujranwalla,Gujranwala
M.b. Din,Mandi Bahauddin
Bahawlpur,Bahawalpur
Rahimyar Khan,Rahim Yar Khan
Old Sukkur,Sukkur
Old Shikarpur,Shikarpur
Old Larkana,Larkana
Tor Ghar Cum Mansehra,Mansehra-cum-Torghar
Naushero Feroze,Naushahro Feroze
Nawabshah,Shaheed Benazirabad
Old Hyderabad,Hyderabad
Old Badin,Badin
Old Mirpurkhas,Mirpurkhas
Old Dadu,Dadu
Karachi,Karachi
D.i. Khan Cum Tank,Dera Ismail Khan-cum-Tank
Quetta Cum Chaga,Quetta-cum-Chagai
Pishin Cum Ziarat,Pishin-cum-Ziarat
Old Lorala,Loralai
Old Zhob,Zhob
Old Sib,Sibi
Old Nasirabad,Nasirabad
Old Kachh,Kachhi
Awaran-Cum-Lasbela,Awaran-cum-Lasbela
Kharan-Cum-Panjgur,Kharan-cum-Panjgur
Kech-Cum-Gwadar,Kech-cum-Gwadar
Chitra,Chitral
Upper Dir Cum Lower Din (Old Upper Dir),Upper Dir-cum-Lower Dir
Malakand P Area,Malakand Protected Area
Tribal Area,Tribal Area
Musakha,MusaKhail
Sherani-Cum-Zhob,Sherani-cum-Zhob
Sibi,Sibi
Harnai-Cum-Sib,Harnai-cum-Sibi
Dara Bugt,Dera Bugti
Kallat,Kalat
Mastung-Cum-Quetta,Mastung-cum-Quetta
Awaran,Awaran
Ziarat,Ziarat
Tor Ghar,Torghar
Batagram,Battagram
Bunair,Buner
Sheikhupura-Cum-Nankana Sahib,Sheikhupura-cum-Nankana Sahib
Kasur-Ii-Cum-Lahore,Kasur-cum-Lahore
Jhang-I-Cum Chiniot,Jhang-cum-Chiniot
Jhang-V-Cum-Chiniot,Jhang-cum-Chiniot
Shikarpur-Cum-Sukkur,Shikarpur-cum-Sukkur
Jacobabad-Cum- Kashmore,Jacobabad-cum-Kashmore
Sukkur-Cum-Shikarpur,Sukkur-cum-Shikarpur
Naushehro Feroze,Naushahro Feroze
Naushehro Feroz,Naushahro Feroze
Larkana-Cum-Shikarpur,Larkana-cum-Shikarpur
Larkana-Cum-Kambar Shahdadkot,Larkana-cum-Kamber Shahdadkot
Kambar Shahdadkot,Kamber Shahdadkot
Matiar,Matiari
Matiyari-Cum-Hyderabad,Matiari-cum-Hyderabad
Tando Allayar-Cum-Matiar,Tando Allahyar-cum-Matiari
Tando Muhammad Khan-Cum-Hyderabad,Tando Muhammad Khan-cum-Hyderabad
Tando Muhammad Khan-Cum-Badin,Tando Muhammad Khan-cum-Badin
Badin-Cum-T.m.khan,Tando Muhammad Khan-cum-Badin
Mirpur Kha,Mirpurkhas
Mirpurkhas-Cum-Umerkot,Mirpurkhas-cum-Umerkot
Umerkot-I Old Mirpurkha,Mirpurkhas-cum-Umerkot
Umerkot-Cum-Sanghar,Umerkot-cum-Sanghar
Umarkot,Umerkot
Jamshoro-Cum-Dadu,Jamshoro-cum-Dadu
Dadau,Dadu
Sanghar-Cum-Mirpurkha,Sanghar-cum-Mirpurkhas
Shikarpur-Cum-Larkana,Shikarpur-cum-Larkana
