id,uid,candidate_name,key,matched_name
731,02862,Imran Ahmed Khan Niazi,NA,NA
734,02867,Mian Muhammad Aslam,NA,NA
735,02868,Muhammad Afnan Umer Baloch,NA,NA
736,02859,Chaudhary Saeed Ahmad,NA,NA
740,02865,Malik Muhammad Yousaf,NA,NA
745,02864,khawaja Khalil ur Rehman,NA,NA
751,02866,Mansoor Akash Randhawa,NA,NA
752,02863,Javed Akhter,NA,NA
755,02881,Syed Amjad Ali Shah,uuid:3c7a999d-28ee-4476-99f5-25b13a1d0f11,Amjad Ali
757,02872,Mukhdoom Muhammad Niaz Inqlabi,NA,NA
758,02853,Abdul Wahab,NA,NA
760,02870,Muhammad Asif Nawaz,NA,NA
761,02857,Asif Fazal Chaudhary,NA,NA
