id,uid,candidate_name,key,matched_name
4632,03721,Malik Naeem Khan Bazai,NA,NA
4636,03729,Saz Ud Din,NA,NA
4644,03718,Gulab Khan Khilji,NA,NA
4648,03725,Munir Ahmed Khan Kakar,NA,NA
4652,03727,Rehmat Ullah,NA,NA
4656,03722,Muhammad Nouman Khan Nasar,uuid:b782303c-cd0b-4731-b0d9-00f956e719e2,Nouman Nasir
4659,03726,Nawabzada Aurangzaib Jogezai,NA,NA
4662,03714,Abdul Ahad,uuid:7d904e42-5f34-4564-bb87-be047b588614,A Ahad
4665,03716,Abdul Waris,uuid:7f802ada-88bd-4525-bd54-69f0733211a3,Waris
4668,03720,Jamil Ahmed Mushwani,NA,NA
4674,03717,Attiq ur Rehman,NA,NA
4678,03723,Muhammad Younas Kasi,NA,NA
