id,uid,candidate_name,key,matched_name
10196,06841,Muhammad Hashim Dogar,uuid:e24d6d99-8147-4c84-8878-a458b8a16a87,M.Hashim
10198,06846,Waqas Hassan Moakal,uuid:cd630548-3146-4e8b-826e-e41a474800c4,Waqas
10199,06847,ZAFAR IQBAL,uuid:134e0d44-48b0-4350-ac70-762d83930477,Zafar
10201,06840,Mian Muhammad Azam,uuid:e403dec7-7696-43a2-bd24-5ee5c6ffe2ed,M.Azam
10202,06844,Rizwan Yousaf,uuid:677dbf48-8119-466a-9f31-715e9f05a095,Rizwan
10203,06842,MUHAMMAD JAVAID IQBAL,NA,NA
10204,06839,Mian Ghulam Sabir,NA,NA
10205,06836,FARRUKAH JUNAID,uuid:e0f912d9-ef0e-440b-b615-aa33ef36e461,Farukh
10206,06837,Jahanzaib Hassan Moakal,uuid:8c2aaaa7-bde0-40cd-b7f8-d83c49008ba4,Jahanzaib
10207,06845,Shabbir Hussain,uuid:f7dd2eeb-b266-4da5-a414-84cefe81c946,Shabeer
10209,06838,KHURRAM SHAHZAD,uuid:839d960c-6198-45d6-81cb-b3fbc29bea70,Khurram
10210,06843,MUHAMMAD MUNIR,uuid:f7cbfe6d-aa6d-468f-94e6-95080a75bd4a,M.Munir
