id,constituency_code,candidate_name,uid,candidate_rank,election_date,election_type,contest_status,assembly,province,constituency_number,constituency_name,voter_reg,votes_polled,turnout,turnout_calc,valid_votes,valid_calc,votes_disq,candidate_party,candidate_votes,candidate_share,outcome,found_initially,key,match
1,NA-1,Moulana Abdul Akbar Chitrali,00004,1,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Muttahida Majlis-e-Amal Pakistan,49035,0.306520475330212,Win,TRUE,uuid:ee3446df-3b1b-4b29-a541-49a0f0a4e3ae,uid
2,NA-1,Abdul Latif,00001,2,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Pakistan Tehreek-e-Insaf,38819,0.242659698824177,Loss,TRUE,uuid:990deb97-30dc-4f4d-936b-14e236ff021d,uid
3,NA-1,Saleem Khan,00009,3,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Pakistan Peoples Party Parliamentarians,32783,0.204928331655967,Loss,TRUE,uuid:8216761c-149b-44e2-adb3-04dcef67c1d8,uid
4,NA-1,Iftikhar Ud Din,00003,4,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Pakistan Muslim League (N),21127,0.132066036143599,Loss,TRUE,uuid:5241fc1d-1200-4fd8-94cf-c4e5289d73c2,uid
5,NA-1,Muhammad Amjad,00005,5,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,All Pakistan Muslim League,6769,0.0423133903846274,Loss,TRUE,uuid:c1615738-81dd-416f-ab16-fbaee1ac8b90,uid
6,NA-1,Eid Ul Hussain,00002,6,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Awami National Party,3625,0.0226600738874685,Loss,TRUE,uuid:283318f7-fa9c-4210-93f0-52e4e3db1f1e,uid
7,NA-1,Saeed ur Rehman,00008,7,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Pakistan Rah-e-Haq Party,3227,0.0201721540509961,Loss,TRUE,uuid:07d2593c-f2e1-46a4-87b3-31fce1ee2fdf,uid
8,NA-1,Shahzada Muhammad Taimur Khisrao,00010,8,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Independent,2416,0.0151025485550687,Loss,TRUE,uuid:dbe99799-f897-40f4-92ba-d6bc5861b5c3,uid
9,NA-1,Nisar Dastageer,00007,9,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Independent,793,0.00495708650834828,Loss,TRUE,uuid:5096ea93-a336-42ac-a39f-24e876ed099d,uid
10,NA-1,Muhammad Yahya,00006,10,2018-07-25,General Election,Contested,National,Khyber Paktunkhwa,1,Chitral,269579,164355,0.6097,0.609672860274725,159973,159973,5430,Independent,698,0.00436323629612497,Loss,TRUE,uuid:552e4cb8-d37a-4bab-b8b8-724b125afe73,uid
