key,Enum_name,Type_Seat,Const_Number,UID,Candidate_Name,motor_cost,Motor Number
uuid:7d3d28c0-6762-42de-926f-4ac504a431c3,Haseeb Nadeem,NA,1,-9999,Perveez Musaraf,0,0
uuid:75e4e171-6979-42d5-b2a5-1fd7c3603148,Haseeb Nadeem,NA,1,-9999,Shah Abdul Mansoor,0,0
uuid:72291c8c-69a5-44e2-806e-7e303ffa9a91,Haseeb Nadeem,NA,1,-9999,Wajih U Deen,0,0
uuid:be7bd307-c114-48c3-96eb-bcf77675fe80,Haseeb Nadeem,NA,1,11,Taqdira Ajmal,0,0
uuid:32758264-c6fd-4f39-a659-78dc69d0fd62,Haseeb Nadeem,NA,2,-9999,Bakht Zada,0,0
uuid:77fec5c5-b889-4c19-aadd-5398a34f79cf,Haseeb Nadeem,NA,2,-9999,Bhroz Khan,0,0
uuid:22fe8540-0fcc-4da6-9dc9-e85dee8454df,Haseeb Nadeem,NA,2,-9999,Farman Ali,0,0
uuid:ba79ae44-26a2-44e7-87a8-df7b08d8b82d,Haseeb Nadeem,NA,2,-9999,Mahmood Khan,0,0
uuid:7a736163-faf4-4115-9a8f-e755fa5d1cfb,Haseeb Nadeem,NA,2,-9999,Shah Faisal Khan,0,0
uuid:1de65941-4034-4f97-bc54-2117bbde7ec8,Haseeb Nadeem,NA,2,-9999,Yasar Khan,0,0
uuid:41bb0943-91fa-4830-8e26-d614e2c8a11b,Haseeb Nadeem,NA,2,1240,Amjad Ali Khan,0,0
uuid:2e517295-850a-41a6-b27b-ae4a23b3e817,Haseeb Nadeem,NA,2,1248,Said Qamar,0,0
uuid:254c0b44-8077-46a2-966c-d6176f2e08f6,Haseeb Nadeem,NA,3,-9999,Saleem Rehman,0,0
uuid:8ce44a9b-f0d8-4679-be85-9521567bcf29,Haseeb Nadeem,NA,3,2377,Aftab Shahid,0,0
uuid:af560259-0ec0-4810-b476-9348b550822f,Haseeb Nadeem,NA,4,-9999,Hanif Ullah Khan,0,0
uuid:b13c6ec7-5242-4a7a-8e98-9cab2b0c3033,Haseeb Nadeem,NA,4,-9999,Israr Ahmed,0,0
uuid:de20d5fc-3e8b-412c-b929-26aa02da5603,Haseeb Nadeem,NA,4,-9999,Muhammad Hafiz Rehman,0,0
uuid:a4bfb4bf-d262-47a9-bc16-945893ddc605,Haseeb Nadeem,NA,4,-9999,Muhammad Raza Khan,0,0
uuid:b1211635-64bc-4fa6-af72-565a850d6c0f,Haseeb Nadeem,NA,4,2550,Ibrahim,0,0
uuid:c83105a7-550f-40fc-8437-a603d3c172d2,Haseeb Nadeem,NA,5,-9999,Muhammaf Sarwar,0,0
uuid:30db26b0-7f7d-45ae-a4cf-7666f8475d37,Haseeb Nadeem,NA,5,-9999,Najmuddin Khan,0,0
uuid:290b287c-fb1a-45ee-a5a2-7b827f898411,Haseeb Nadeem,NA,5,-9999,Sheer Muhammad,0,0
uuid:b8987a95-a281-4bb5-ad78-f695baeab34e,Haseeb Nadeem,NA,5,2788,Inayatul Haq,0,0
uuid:87bc0ff9-4851-4b0b-ae28-96076cdd96cd,Haseeb Nadeem,NA,5,2793,Sahibzada Tariqullah,0,0
uuid:c771d356-d445-4bc6-a844-7573f3d63edd,Haseeb Nadeem,NA,6,-9999,Abdul Qayum,0,0
uuid:6bdca9dd-0f0b-43e2-be66-25a7d09e5699,Haseeb Nadeem,NA,6,-9999,Abdul Wadood,0,0
uuid:aca65f53-7900-4d8d-b644-4d40806bcdab,Haseeb Nadeem,NA,6,-9999,Huaain Ahmad,0,0
uuid:7c335cee-085e-41f8-984b-d11352eda40b,Haseeb Nadeem,NA,6,-9999,Zahid Khan,0,0
uuid:e907809e-ee0c-40e6-8051-da7b9ce2234b,Haseeb Nadeem,NA,6,2957,Asad Ullah,0,0
uuid:19c61ad8-c677-4286-84c7-1242428fe8e5,Haseeb Nadeem,NA,6,2959,Ehsan Ullah,0,0
uuid:e382bd5e-da6c-45f9-a679-29eed5bd78d0,Haseeb Nadeem,NA,6,3074,Siraj Ul Haq,0,0
uuid:afe4bcc3-d571-4e1e-91a6-bb3e55cc38ee,Haseeb Nadeem,NA,7,-9999,Abdul Waheed,0,0
uuid:d038fbc5-897c-4048-9980-8ec189474dbd,Haseeb Nadeem,NA,7,-9999,Naseem Khan,0,0
uuid:1868bc7a-d0ec-4b7b-be22-c068b130df23,Haseeb Nadeem,NA,7,3069,Andul Ghafa Khan,0,0
uuid:c168ef9f-2202-4d07-92ea-33de9544a06f,Haseeb Nadeem,NA,7,3072,Muhammad Khalid,0,0
uuid:3e23586c-3678-4bf6-ab12-75aaba1adebc,Haseeb Nadeem,NA,7,3073,Nasir Khan,0,0
uuid:552f6653-a80e-4761-9553-0e3a96b07763,Haseeb Nadeem,NA,8,-9999,Fayaz Gul,0,0
uuid:c1589a19-1142-4418-9072-912ce72aac2c,Haseeb Nadeem,NA,8,-9999,Muhammad Riaz,0,0
uuid:88215be5-0a09-4f6d-9085-0baf5310fe0f,Haseeb Nadeem,NA,8,-9999,Muhammad Shafi,0,0
uuid:d8b2cb28-3bce-40d7-bc50-b6ae8aa4afc2,Haseeb Nadeem,NA,8,-9999,Taj Badshah,0,0
uuid:eae44551-39f9-4a1d-b62b-5d26bfdf4b56,Haseeb Nadeem,NA,8,3187,Alamgir Khan,0,0
uuid:e378416d-b394-48d3-a335-443ea19d345b,Haseeb Nadeem,NA,8,3189,Bilawal Bhutto,0,0
uuid:f2f55029-0b35-40d0-aa3a-33258cac3ebe,Haseeb Nadeem,NA,9,-9999,Abdul Ghaffar,0,0
uuid:77f4a79b-35fe-4f77-aa69-eaa24645d35a,Haseeb Nadeem,NA,9,-9999,Abdul Hakim,0,0
uuid:d29ac2de-16c4-4aae-8bea-fbf0a4f79e97,Haseeb Nadeem,NA,9,-9999,Abdul Majeed,0,0
uuid:375786e1-3290-4ba4-82b5-6cc10cdfa578,Haseeb Nadeem,NA,9,-9999,Amir Ul Aman,0,0
uuid:f65fa417-184f-40a1-aa32-5da789cd5629,Haseeb Nadeem,NA,9,-9999,Habib Ul Rehman,0,0
uuid:525ba3b1-0ce7-45ab-bd33-502d196493a9,Haseeb Nadeem,NA,9,-9999,Haleem Ur Rehman,0,0
uuid:ab3d1e8b-d3f0-4bd6-9ec9-2893ae30a431,Haseeb Nadeem,NA,9,-9999,Khan Sardar Alam,0,0
uuid:9a6b1c54-6b63-444b-adf7-935f3309fa54,Haseeb Nadeem,NA,9,-9999,Khayal Muhammad,0,0
uuid:06d79558-9655-4aa3-b31e-fff93205aede,Haseeb Nadeem,NA,9,-9999,Muhammad Quraish,0,0
uuid:539b47b1-cd49-4cad-ba3e-97e0cbb0cf53,Haseeb Nadeem,NA,9,-9999,Shah Bakht Rawan,0,0
uuid:c382c4de-5f2b-4252-8eeb-9cd5b830c0b7,Haseeb Nadeem,NA,9,-9999,Sirmir Khan,0,0
uuid:556e04c7-1954-44ec-b862-79e52609e3a9,Haseeb Nadeem,NA,9,3320,Fanoss Gujjar,0,0
uuid:628ef79a-6736-4180-8301-8dcd27a9fe3f,Haseeb Nadeem,NA,9,3322,Kamran Khan,0,0
uuid:844cbebd-6bc0-4846-90d9-ed0c45243dec,Haseeb Nadeem,NA,9,3324,Sher Akbar Khan,0,0
uuid:963377fb-3001-4ffd-ad63-6d3af3496771,Haseeb Nadeem,NA,10,-9999,Amir Muqaam,0,0
uuid:5fcab7a5-4e95-488e-b219-0d1039f0ac33,Haseeb Nadeem,NA,10,-9999,Mian Nazeer Rehman,0,0
uuid:fc9bd2ab-75df-4cda-935e-76e26c1f0298,Haseeb Nadeem,NA,10,12,Amir Sultan,0,0
uuid:9ddac266-7b0d-42af-b4c3-f1ba1052668e,Hamza Hashmi,NA,11,-9999,Amjad Alis,-99,0
uuid:7323e807-7645-48bd-8a44-a49fa49846f6,Hamza Hashmi,NA,11,-9999,Mohammad Ayoub Khan,-99,0
uuid:bb95e473-98de-4d50-b0f0-78e15d02caad,Hamza Hashmi,NA,11,-9999,Muhammad,-99,0
uuid:f996ab72-326b-48fb-879a-890e99820312,Hamza Hashmi,NA,11,-9999,Saif Ul Malook,-99,0
uuid:a951d622-b1d9-4b54-8750-bb8a743c3e8b,Hamza Hashmi,NA,11,125,Abdul Qayum,0,0
uuid:45931215-0f33-496c-b920-079c6d17cbac,Hamza Hashmi,NA,11,129,Dost Muhammad Shakir,-99,0
uuid:461d411a-b9db-47b0-a604-9a4469a01f35,Hamza Hashmi,NA,11,130,Haji Meer Dad,-99,0
uuid:89125e67-8f83-4ccb-a0f9-7b0ee37f7213,Hamza Hashmi,NA,11,131,Haji Misar Khan,-99,0
uuid:38758c3d-8b13-41fa-9fb6-5570dea2fff1,Hamza Hashmi,NA,11,136,Muhammad Yaseen,-99,0
uuid:bc22af74-d861-436d-b3b8-2b8da18e939a,Hamza Hashmi,NA,11,138,Said Jaan,-99,0
uuid:95b6e1f9-5c5d-4be4-88c9-d89bdb4dc9bc,Hamza Hashmi,NA,11,140,Sher Baaz,-99,0
uuid:88f67bf1-1640-499f-a546-2e70392206be,Hamza Hashmi,NA,12,-9999,Khursheed Ahmad,-99,0
uuid:ad5d12dc-c5ca-4fea-82f4-33e87c16cf31,Hamza Hashmi,NA,12,-9999,Sayad Amal Shah,-99,0
uuid:c44fde18-b31d-407f-9f0c-3aeb1dd0f372,Hamza Hashmi,NA,12,254,Misbahullah Babar,-99,0
uuid:8bd93364-ab8b-496d-8763-141e0cdcd5ad,Hamza Hashmi,NA,12,257,Rasheed Ahmad,0,0
uuid:d14d1d8f-d74a-4ac8-970f-ffb1e9139943,Hamza Hashmi,NA,12,258,Rustam Khan,-99,0
uuid:3f17080e-c95d-4a7a-96de-43de52583de5,Hamza Hashmi,NA,12,260,Saeed Ahmad,-99,0
uuid:1eb54725-2078-4194-914d-7e32e51a81aa,Hamza Hashmi,NA,12,261,Sardar Malik Jan,-99,0
uuid:63f6ca9a-dee4-466f-b4f3-e29c155afccf,Hamza Hashmi,NA,13,-9999,Muhammad Ali,-99,0
uuid:b7d73d0e-ccda-411d-bf4f-fdac03d7e4ac,Hamza Hashmi,NA,13,-9999,Sardar M Yousaf Zaman,0,0
uuid:cac499d8-7313-4455-8c52-5d485ff6f7db,Hamza Hashmi,NA,13,-9999,Sayad Hidayat Ullah,-99,0
uuid:0fda9c6f-3429-4850-808d-7b139a67b98d,Hamza Hashmi,NA,13,-9999,Shafat Ali Khan,-99,0
uuid:827e0ed6-edc3-47fc-b94f-8ea51ae4186c,Hamza Hashmi,NA,13,379,Amir Shahzad,-99,0
uuid:18b6d48a-0be0-41a8-976b-944e740255de,Hamza Hashmi,NA,13,380,Abdul Salam,-99,0
uuid:07f16c8d-5a87-4e34-8a52-d5d8e2c50468,Hamza Hashmi,NA,13,383,Iffat Kalsoom,-99,0
uuid:b7d598e2-b382-44f2-8b96-a4e3a38c47f6,Hamza Hashmi,NA,13,385,M Baseer Khan,-99,0
uuid:ba35688e-535b-4353-8846-d107344bdfa8,Hamza Hashmi,NA,13,388,Nargis Ali,-99,0
uuid:7a8b22db-64d8-4505-9c14-05d2eb15d80e,Hamza Hashmi,NA,13,390,Samar Islam,0,0
uuid:04692dbe-79da-44b2-9669-385f809cb7e0,Hamza Hashmi,NA,13,391,Sardqr M Sultan,-99,0
uuid:6ae493b7-f8a1-421e-bd26-b9cdf7a611c4,Hamza Hashmi,NA,14,-9999,Ibrar Hussain,-99,0
uuid:3511ca80-f50d-4176-b708-3f32ce61e876,Hamza Hashmi,NA,14,-9999,Khan Muhammad,-99,0
uuid:4094b5e2-8b45-474e-8e2b-7aa5a988700c,Hamza Hashmi,NA,14,-9999,M Safdar,-99,0
uuid:1ead617f-59f3-4f2c-9c11-16f6a71aa2ea,Hamza Hashmi,NA,14,-9999,Mufti Kafayat Ullah,-99,0
uuid:9981fc09-077e-40f8-870c-9330104898c7,Hamza Hashmi,NA,14,-9999,Wajihuz Zaman Khan,-99,0
uuid:5ff164bb-9bc2-4034-9167-0685ae3e337b,Hamza Hashmi,NA,14,529,Ahmad Sheryar Khan,-99,0
uuid:600790e5-7746-437b-90c0-acb44b7a0ece,Hamza Hashmi,NA,14,530,Fakhur Uz Zaman,-99,0
uuid:55420226-5c71-4bae-8ace-4b52e101a53c,Hamza Hashmi,NA,14,536,Qazi Tayyab Shahzad,0,0
uuid:44cff151-ba6b-4bb5-b3fd-919e3682db33,Hamza Hashmi,NA,14,537,Roshan Zaman,-99,0
uuid:6ca728ea-3773-4498-8348-d625f9744286,Hamza Hashmi,NA,15,-9999,Mubashir Lateef,0,0
uuid:3345eaff-eb46-4464-ad7e-70bfdca704c0,Hamza Hashmi,NA,15,663,Makhdom Arif Hussain,0,0
uuid:a46018d5-9ada-4b0e-998a-43d68113fd3d,Hamza Hashmi,NA,15,664,Muhammad Asghar Shah,0,0
uuid:3f49119c-2ff6-4d5e-95ea-7893cd4f335d,Hamza Hashmi,NA,15,667,Sameen Riaz,0,0
uuid:1fd51827-3a3a-40e4-998d-c5ee45a5314c,Hamza Hashmi,NA,15,893,Malik Shakeel Ahmad,0,0
uuid:db98f8db-ecf6-4a40-a820-443aaa523469,Hamza Hashmi,NA,16,-9999,Ahsan Khan,0,0
